"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 18, 2017","1,699.51","1,696.09","1,699.60","1,693.13","0","0.20"
"Jan 17, 2017","1,696.09","1,701.40","1,701.40","1,692.40","0","-0.31"
"Jan 13, 2017","1,701.40","1,698.07","1,704.32","1,698.07","0","0.20"
"Jan 12, 2017","1,698.07","1,701.54","1,701.54","1,685.91","0","-0.20"
"Jan 11, 2017","1,701.54","1,696.99","1,701.54","1,691.08","0","0.27"
"Jan 10, 2017","1,696.99","1,696.72","1,704.48","1,694.21","0","0.02"
"Jan 09, 2017","1,696.72","1,702.57","1,702.57","1,696.72","0","-0.34"
"Jan 06, 2017","1,702.57","1,696.46","1,706.33","1,693.03","0","0.36"
"Jan 05, 2017","1,696.46","1,697.86","1,698.38","1,690.11","0","-0.08"
"Jan 04, 2017","1,697.86","1,687.45","1,699.33","1,687.45","0","0.62"
"Jan 03, 2017","1,687.45","1,673.22","1,691.80","1,673.22","0","0.85"
"Dec 30, 2016","1,673.22","1,680.87","1,684.09","1,669.49","0","-0.46"
"Dec 29, 2016","1,680.87","1,681.36","1,684.74","1,677.46","0","-0.03"
"Dec 28, 2016","1,681.36","1,695.61","1,697.49","1,680.79","0","-0.84"
"Dec 27, 2016","1,695.61","1,691.83","1,699.34","1,691.83","0","0.22"
"Dec 23, 2016","1,691.83","1,689.40","1,691.83","1,688.22","0","0.14"
"Dec 22, 2016","1,689.40","1,692.79","1,692.79","1,685.81","0","-0.20"
"Dec 21, 2016","1,692.79","1,696.92","1,697.27","1,692.78","0","-0.24"
"Dec 20, 2016","1,696.92","1,690.73","1,698.16","1,690.73","0","0.37"
"Dec 19, 2016","1,690.73","1,687.59","1,694.38","1,687.59","0","0.19"
"Dec 16, 2016","1,687.59","1,690.44","1,694.90","1,684.70","0","-0.17"
"Dec 15, 2016","1,690.44","1,683.95","1,697.93","1,683.95","0","0.39"
"Dec 14, 2016","1,683.95","1,697.70","1,700.81","1,680.66","0","-0.81"
"Dec 13, 2016","1,697.70","1,686.70","1,701.92","1,686.70","0","0.65"
"Dec 12, 2016","1,686.70","1,688.82","1,692.03","1,683.33","0","-0.13"
"Dec 09, 2016","1,688.82","1,679.36","1,688.97","1,679.36","0","0.56"
"Dec 08, 2016","1,679.36","1,675.77","1,683.60","1,673.21","0","0.21"
"Dec 07, 2016","1,675.77","1,654.17","1,675.90","1,651.59","0","1.31"
"Dec 06, 2016","1,654.17","1,648.24","1,654.50","1,646.52","0","0.36"
"Dec 05, 2016","1,648.24","1,638.27","1,651.57","1,638.27","0","0.61"
"Dec 02, 2016","1,638.27","1,637.76","1,642.84","1,635.68","0","0.03"
"Dec 01, 2016","1,637.76","1,644.26","1,646.91","1,635.05","0","-0.40"
"Nov 30, 2016","1,644.26","1,648.81","1,655.90","1,644.26","0","-0.28"
"Nov 29, 2016","1,648.81","1,646.63","1,653.17","1,644.00","0","0.13"
"Nov 28, 2016","1,646.63","1,655.62","1,655.62","1,645.64","0","-0.54"
"Nov 25, 2016","1,655.62","1,649.10","1,655.62","1,649.10","0","0.40"
"Nov 23, 2016","1,649.10","1,647.75","1,649.10","1,641.48","0","0.08"
"Nov 22, 2016","1,647.75","1,644.20","1,649.11","1,641.39","0","0.22"
"Nov 21, 2016","1,644.20","1,632.13","1,644.60","1,632.13","0","0.74"
"Nov 18, 2016","1,632.13","1,635.94","1,638.10","1,631.02","0","-0.23"
"Nov 17, 2016","1,635.94","1,627.91","1,636.59","1,627.86","0","0.49"
"Nov 16, 2016","1,627.91","1,630.45","1,630.45","1,624.41","0","-0.16"
"Nov 15, 2016","1,630.45","1,618.35","1,630.87","1,618.35","0","0.75"
"Nov 14, 2016","1,618.35","1,618.21","1,623.54","1,612.22","0","0.01"
"Nov 11, 2016","1,618.21","1,620.30","1,620.30","1,609.13","0","-0.13"
"Nov 10, 2016","1,620.30","1,617.65","1,632.00","1,608.51","0","0.16"
"Nov 09, 2016","1,617.65","1,599.78","1,622.58","1,589.15","0","1.12"
"Nov 08, 2016","1,599.78","1,593.70","1,605.26","1,587.77","0","0.39"
"Nov 07, 2016","1,593.64","1,559.21","1,593.98","1,559.21","0","2.21"
"Nov 04, 2016","1,559.21","1,561.36","1,569.52","1,557.84","0","-0.14"
"Nov 03, 2016","1,561.36","1,568.40","1,571.80","1,558.88","0","-0.45"
"Nov 02, 2016","1,568.40","1,579.11","1,579.11","1,565.55","0","-0.68"
"Nov 01, 2016","1,579.11","1,589.84","1,593.76","1,568.76","0","-0.67"
"Oct 31, 2016","1,589.84","1,589.76","1,594.91","1,589.37","0","0.01"
"Oct 28, 2016","1,589.76","1,594.53","1,600.43","1,584.60","0","-0.30"
"Oct 27, 2016","1,594.53","1,599.41","1,605.18","1,594.13","0","-0.31"
"Oct 26, 2016","1,599.41","1,602.40","1,604.19","1,593.91","0","-0.19"
"Oct 25, 2016","1,602.40","1,608.78","1,608.78","1,601.53","0","-0.40"
"Oct 24, 2016","1,608.78","1,600.92","1,611.28","1,600.92","0","0.49"
"Oct 21, 2016","1,600.92","1,600.86","1,601.94","1,592.58","0","0.00"
"Oct 20, 2016","1,600.86","1,603.23","1,605.34","1,595.09","0","-0.15"
"Oct 19, 2016","1,603.23","1,599.57","1,606.33","1,598.45","0","0.23"
"Oct 18, 2016","1,599.57","1,589.72","1,603.08","1,589.72","0","0.62"
"Oct 17, 2016","1,589.72","1,594.43","1,596.32","1,588.13","0","-0.30"
