"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2016","1,619.84","1,610.20","1,620.15","1,608.55","0","0.60"
"Jul 25, 2016","1,610.20","1,613.46","1,613.46","1,605.49","0","-0.20"
"Jul 22, 2016","1,613.46","1,602.29","1,614.19","1,601.32","0","0.70"
"Jul 21, 2016","1,602.29","1,607.55","1,611.04","1,598.37","0","-0.33"
"Jul 20, 2016","1,607.55","1,597.76","1,609.38","1,595.23","0","0.61"
"Jul 19, 2016","1,597.76","1,602.19","1,602.19","1,593.81","0","-0.28"
"Jul 18, 2016","1,602.19","1,598.95","1,602.98","1,596.29","0","0.20"
"Jul 15, 2016","1,598.95","1,600.34","1,603.78","1,596.28","0","-0.09"
"Jul 14, 2016","1,600.34","1,595.72","1,607.00","1,595.72","0","0.29"
"Jul 13, 2016","1,595.72","1,597.27","1,601.89","1,589.98","0","-0.10"
"Jul 12, 2016","1,597.27","1,580.30","1,600.63","1,580.30","0","1.07"
"Jul 11, 2016","1,580.30","1,574.19","1,584.17","1,574.19","0","0.39"
"Jul 08, 2016","1,574.19","1,544.03","1,576.19","1,544.03","0","1.95"
"Jul 07, 2016","1,544.03","1,541.45","1,552.85","1,537.58","0","0.17"
"Jul 06, 2016","1,541.45","1,532.91","1,541.89","1,521.72","0","0.56"
"Jul 05, 2016","1,532.91","1,552.65","1,552.65","1,524.58","0","-1.27"
"Jul 01, 2016","1,552.65","1,548.09","1,557.07","1,547.10","0","0.29"
"Jun 30, 2016","1,548.09","1,524.58","1,548.09","1,521.24","0","1.54"
"Jun 29, 2016","1,524.58","1,496.42","1,526.88","1,496.42","0","1.88"
"Jun 28, 2016","1,496.42","1,466.88","1,496.90","1,466.88","0","2.01"
"Jun 27, 2016","1,466.88","1,509.16","1,509.16","1,460.85","0","-2.80"
"Jun 24, 2016","1,509.16","1,574.66","1,574.66","1,507.17","0","-4.16"
"Jun 23, 2016","1,574.66","1,550.72","1,574.66","1,550.72","0","1.54"
"Jun 22, 2016","1,550.72","1,552.89","1,561.28","1,549.93","0","-0.14"
"Jun 21, 2016","1,552.89","1,549.92","1,555.85","1,547.36","0","0.19"
"Jun 20, 2016","1,549.92","1,535.19","1,562.08","1,535.19","0","0.96"
"Jun 17, 2016","1,535.19","1,533.92","1,538.63","1,528.64","0","0.08"
"Jun 16, 2016","1,533.92","1,533.77","1,534.96","1,514.62","0","0.01"
"Jun 15, 2016","1,533.77","1,531.82","1,544.33","1,531.82","0","0.13"
"Jun 14, 2016","1,531.82","1,536.94","1,538.25","1,523.01","0","-0.33"
"Jun 13, 2016","1,536.94","1,551.39","1,554.54","1,536.32","0","-0.93"
"Jun 10, 2016","1,551.39","1,575.09","1,575.09","1,547.37","0","-1.50"
"Jun 09, 2016","1,575.09","1,578.26","1,578.26","1,567.69","0","-0.20"
"Jun 08, 2016","1,578.26","1,573.42","1,579.48","1,572.51","0","0.31"
"Jun 07, 2016","1,573.42","1,566.04","1,577.25","1,566.02","0","0.47"
"Jun 06, 2016","1,566.04","1,557.61","1,568.87","1,557.48","0","0.54"
"Jun 03, 2016","1,557.61","1,563.93","1,563.93","1,546.89","0","-0.40"
"Jun 02, 2016","1,563.93","1,555.07","1,563.93","1,550.17","0","0.57"
"Jun 01, 2016","1,555.07","1,551.50","1,555.56","1,541.73","0","0.23"
"May 31, 2016","1,551.50","1,548.92","1,554.36","1,545.24","0","0.17"
"May 27, 2016","1,548.92","1,541.18","1,548.92","1,541.18","0","0.50"
"May 26, 2016","1,541.18","1,541.69","1,545.43","1,538.88","0","-0.03"
"May 25, 2016","1,541.69","1,532.18","1,544.40","1,532.18","0","0.62"
"May 24, 2016","1,532.18","1,510.86","1,534.63","1,510.86","0","1.41"
"May 23, 2016","1,510.86","1,512.64","1,516.25","1,510.30","0","-0.12"
