"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20, 2017","1,698.26","1,706.75","1,706.75","1,694.45","0","-0.50"
"Mar 17, 2017","1,706.75","1,702.76","1,708.86","1,698.68","0","0.23"
"Mar 16, 2017","1,702.76","1,702.25","1,708.36","1,699.41","0","0.03"
"Mar 15, 2017","1,702.25","1,677.76","1,705.87","1,677.76","0","1.46"
"Mar 14, 2017","1,677.76","1,686.37","1,686.37","1,668.35","0","-0.51"
"Mar 13, 2017","1,686.37","1,682.11","1,689.91","1,681.95","0","0.25"
"Mar 10, 2017","1,682.11","1,675.86","1,686.75","1,672.61","0","0.37"
"Mar 09, 2017","1,675.86","1,682.76","1,688.28","1,669.06","0","-0.41"
"Mar 08, 2017","1,682.76","1,693.26","1,699.44","1,682.36","0","-0.62"
"Mar 07, 2017","1,693.26","1,704.61","1,704.61","1,692.47","0","-0.67"
"Mar 06, 2017","1,704.61","1,716.11","1,716.11","1,698.42","0","-0.67"
"Mar 03, 2017","1,716.11","1,715.37","1,719.39","1,708.86","0","0.04"
"Mar 02, 2017","1,715.37","1,735.02","1,735.02","1,714.50","0","-1.13"
"Mar 01, 2017","1,735.02","1,707.40","1,736.71","1,707.40","0","1.62"
"Feb 28, 2017","1,707.40","1,728.25","1,728.25","1,707.13","0","-1.20"
"Feb 27, 2017","1,728.20","1,714.26","1,728.20","1,711.19","0","0.81"
"Feb 24, 2017","1,714.26","1,713.13","1,714.26","1,698.82","0","0.07"
"Feb 23, 2017","1,713.13","1,722.55","1,726.77","1,704.30","0","-0.55"
"Feb 22, 2017","1,722.55","1,731.03","1,731.03","1,720.14","0","-0.49"
"Feb 21, 2017","1,731.03","1,716.66","1,731.53","1,716.66","0","0.84"
"Feb 17, 2017","1,716.66","1,715.15","1,716.66","1,707.39","0","0.09"
"Feb 16, 2017","1,715.15","1,719.23","1,721.85","1,707.34","0","-0.24"
"Feb 15, 2017","1,719.23","1,711.75","1,721.33","1,707.44","0","0.44"
"Feb 14, 2017","1,711.75","1,706.32","1,712.26","1,699.56","0","0.32"
"Feb 13, 2017","1,706.32","1,702.34","1,712.74","1,702.34","0","0.23"
"Feb 10, 2017","1,702.34","1,691.68","1,704.73","1,691.68","0","0.63"
"Feb 09, 2017","1,691.68","1,672.48","1,693.14","1,672.48","0","1.15"
"Feb 08, 2017","1,672.48","1,672.25","1,673.40","1,660.25","0","0.01"
"Feb 07, 2017","1,672.25","1,678.26","1,683.21","1,668.44","0","-0.36"
"Feb 06, 2017","1,678.26","1,688.06","1,688.06","1,674.96","0","-0.58"
"Feb 03, 2017","1,688.06","1,666.18","1,688.44","1,666.18","0","1.31"
"Feb 02, 2017","1,666.18","1,666.58","1,672.08","1,660.49","0","-0.02"
"Feb 01, 2017","1,666.58","1,669.60","1,682.13","1,660.68","0","-0.18"
"Jan 31, 2017","1,669.60","1,660.50","1,671.58","1,652.44","0","0.55"
"Jan 30, 2017","1,660.50","1,678.90","1,678.90","1,646.68","0","-1.10"
"Jan 27, 2017","1,678.89","1,686.41","1,686.41","1,674.08","0","-0.45"
"Jan 26, 2017","1,686.41","1,691.71","1,696.26","1,684.81","0","-0.31"
"Jan 25, 2017","1,691.71","1,678.33","1,693.12","1,678.33","0","0.80"
"Jan 24, 2017","1,678.33","1,654.98","1,680.91","1,654.98","0","1.41"
"Jan 23, 2017","1,654.98","1,659.08","1,660.17","1,646.75","0","-0.25"
"Jan 20, 2017","1,659.08","1,652.40","1,661.87","1,652.40","0","0.40"
"Jan 19, 2017","1,652.40","1,664.64","1,667.87","1,647.23","0","-0.74"
"Jan 18, 2017","1,664.64","1,657.80","1,664.83","1,654.76","0","0.41"
